row_id,restaurant_id,employee_id,date,hours_worked
1,HKI001,0001,2023-01-01,8.00
2,HKI001,0002,2023-01-01,8.00
3,HKI001,0013,2023-01-01,8.00
4,HKI002,0031,2023-01-01,8.00
5,HKI002,0032,2023-01-01,8.00
6,HKI002,0043,2023-01-01,8.00
7,HKI003,0061,2023-01-01,8.00
8,HKI003,0062,2023-01-01,8.00
9,HKI003,0073,2023-01-01,8.00
10,TKU001,0091,2023-01-01,8.00
11,TKU001,0092,2023-01-01,8.00
12,TKU001,0103,2023-01-01,8.00
13,TKU002,0121,2023-01-01,8.00
14,TKU002,0122,2023-01-01,8.00
15,TKU002,0133,2023-01-01,8.00
16,TRE001,0151,2023-01-01,8.00
17,TRE001,0152,2023-01-01,8.00
18,TRE001,0163,2023-01-01,8.00
19,TRE002,0181,2023-01-01,8.00
20,TRE002,0182,2023-01-01,8.00
21,TRE002,0193,2023-01-01,8.00
22,OUL001,0211,2023-01-01,8.00
23,OUL001,0212,2023-01-01,8.00
24,OUL001,0223,2023-01-01,8.00
25,HKI001,0016,2023-01-01,7.00
26,HKI001,0017,2023-01-01,7.00
27,HKI001,0028,2023-01-01,7.00
28,HKI002,0046,2023-01-01,7.00
29,HKI002,0047,2023-01-01,7.00
30,HKI002,0058,2023-01-01,7.00
31,HKI003,0076,2023-01-01,7.00
32,HKI003,0077,2023-01-01,7.00
33,HKI003,0088,2023-01-01,7.00
34,TKU001,0106,2023-01-01,7.00
35,TKU001,0107,2023-01-01,7.00
36,TKU001,0118,2023-01-01,7.00
37,TKU002,0136,2023-01-01,7.00
38,TKU002,0137,2023-01-01,7.00
39,TKU002,0148,2023-01-01,7.00
40,TRE001,0166,2023-01-01,7.00
41,TRE001,0167,2023-01-01,7.00
42,TRE001,0178,2023-01-01,7.00
43,TRE002,0196,2023-01-01,7.00
44,TRE002,0197,2023-01-01,7.00
45,TRE002,0208,2023-01-01,7.00
46,OUL001,0226,2023-01-01,7.00
47,OUL001,0227,2023-01-01,7.00
48,OUL001,0238,2023-01-01,7.00
49,HKI001,0006,2023-01-01,6.00
50,HKI001,0014,2023-01-01,6.00
51,HKI001,0021,2023-01-01,6.00
52,HKI001,0029,2023-01-01,6.00
53,HKI002,0036,2023-01-01,6.00
54,HKI002,0044,2023-01-01,6.00
55,HKI002,0051,2023-01-01,6.00
56,HKI002,0059,2023-01-01,6.00
57,HKI003,0066,2023-01-01,6.00
58,HKI003,0074,2023-01-01,6.00
59,HKI003,0081,2023-01-01,6.00
60,HKI003,0089,2023-01-01,6.00
61,TKU001,0096,2023-01-01,6.00
62,TKU001,0104,2023-01-01,6.00
63,TKU001,0111,2023-01-01,6.00
64,TKU001,0119,2023-01-01,6.00
65,TKU002,0126,2023-01-01,6.00
66,TKU002,0134,2023-01-01,6.00
67,TKU002,0141,2023-01-01,6.00
