row_id,employee_id,start_time,end_time,hours_worked
1,0001,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
2,0002,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
3,0013,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
4,0031,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
5,0032,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
6,0043,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
7,0061,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
8,0062,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
9,0073,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
10,0091,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
11,0092,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
12,0103,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
13,0121,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
14,0122,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
15,0133,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
16,0151,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
17,0152,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
18,0163,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
19,0181,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
20,0182,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
21,0193,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
22,0211,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
23,0212,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
24,0223,2023-01-01 08:00:00,2023-01-01 16:00:00,8.00
25,0016,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
26,0017,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
27,0028,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
28,0046,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
29,0047,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
30,0058,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
31,0076,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
32,0077,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
33,0088,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
34,0106,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
35,0107,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
36,0118,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
37,0136,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
38,0137,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
39,0148,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
40,0166,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
41,0167,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
42,0178,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
43,0196,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
44,0197,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
45,0208,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
46,0226,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
47,0227,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
48,0238,2023-01-01 10:00:00,2023-01-01 17:00:00,7.00
49,0006,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
50,0014,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
51,0021,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
52,0029,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
53,0036,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
54,0044,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
55,0051,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
56,0059,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
57,0066,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
58,0074,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
59,0081,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
60,0089,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
61,0096,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
62,0104,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
63,0111,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
64,0119,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
65,0126,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
66,0134,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
67,0141,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
68,0149,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
69,0156,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
70,0164,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
71,0171,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
72,0179,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
73,0186,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
74,0194,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
75,0201,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
76,0209,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
77,0216,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
78,0224,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
79,0231,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
80,0239,2023-01-01 11:00:00,2023-01-01 17:00:00,6.00
81,0007,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
82,0009,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
83,0015,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
84,0037,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
85,0039,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
86,0045,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
87,0067,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
88,0069,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
89,0075,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
90,0097,2023-01-01 16:00:00,2023-01-01 23:00:00,7.00
