order_no,product_name,amount
0000001,aglio olio e peperoncino,1
0000001,chocolate gelato,1
0000001,diavola,1
0000001,strega,2
0000001,tiramisu della mamma,1
0000002,chocolate gelato,1
0000002,mango gelato,1
0000002,margherita,2
0000003,burrata with grapes & basil,1
0000003,cacio e pepe,1
0000003,mango gelato,1
0000004,beef carpaccio,2
0000004,con salame,2
0000004,diavola,1
0000004,insalata caprese,1
0000004,octopus arancini,1
0000004,pistachio gelato,1
0000004,plum-nut raw cake,1
0000004,prosciutto e funghi,1
0000005,cacio e pepe,1
0000005,chocolate gelato,1
0000005,insalata caprese,3
0000005,margherita,2
0000005,marinara,1
0000005,pistachio gelato,1
0000005,tiramisu della mamma,1
0000006,cheese and peas arancini,1
0000006,diavola,1
0000006,margherita,1
0000006,octopus arancini,1
0000006,prosciutto e funghi,1
0000006,provola e pepe,1
0000006,zeppole,1
0000007,chocolate gelato,1
0000007,provola e pepe,1
0000008,tonnarella,1
0000008,zeppole,1
0000009,beef carpaccio,1
0000009,burrata with grapes & basil,1
0000009,cacio e pepe,1
0000009,cheese and peas arancini,1
0000009,con salame,1
0000009,insalata caprese,1
0000009,mona lisa,1
0000009,provola e pepe,1
0000009,strega,1
0000009,vanilla gelato,1
0000009,zeppole,1
0000010,cacio e pepe,1
0000010,tonnarella,1
0000010,zeppole,1
0000011,aglio olio e peperoncino,2
0000012,beef carpaccio,1
0000012,cheese and peas arancini,1
0000012,chocolate gelato,1
0000012,con salame,1
0000012,diavola,1
0000012,margherita,1
0000012,octopus arancini,1
0000012,prosciutto e funghi,1
0000012,tonnarella,1
0000012,zeppole,1
0000013,margherita,1
0000013,provola e pepe,1
0000013,strawberry gelato,1
0000014,aglio olio e peperoncino,1
0000014,caprese vanilla & raspberry,1
0000014,cheese and peas arancini,1
0000014,diavola,1
0000014,insalata caprese,2
0000014,lemon gelato,1
0000014,mona lisa,1
0000014,octopus arancini,1
0000014,plum-nut raw cake,1
0000014,provola e pepe,1
0000014,strawberry gelato,1
0000014,strega,1
0000014,tiramisu della mamma,1
0000014,tonnarella,1
0000014,zeppole,1
0000015,burrata with grapes & basil,1
0000015,margherita,1
0000016,beef carpaccio,1
0000016,cacio e pepe,1
0000016,margherita,1
0000016,tiramisu della mamma,1
0000017,burrata with grapes & basil,1
0000017,caprese vanilla & raspberry,1
0000017,con salame,1
0000017,marinara,1
0000017,mona lisa,1
0000017,plum-nut raw cake,1
0000017,strega,1
0000018,aglio olio e peperoncino,1
0000018,beef carpaccio,1
0000018,burrata with grapes & basil,1
0000018,cheese and peas arancini,2
0000018,con salame,3
0000018,insalata caprese,1
0000018,mango gelato,1
0000018,marinara,1
0000018,pistachio gelato,2
0000018,provola e pepe,1
0000018,strawberry gelato,1
0000018,tiramisu della mamma,1
0000019,aglio olio e peperoncino,1
0000019,beef carpaccio,1
0000019,plum-nut raw cake,1
0000020,chocolate gelato,1
0000020,margherita,1
0000020,strawberry gelato,1
0000020,tonnarella,1
0000021,burrata with grapes & basil,1
0000021,cacio e pepe,1
0000021,margherita,1
