order_no,product_name,amount
0025778,con salame,1
0025778,marinara,1
0025778,provola e pepe,1
0025778,strega,2
0025778,tonnarella,1
0025779,beef carpaccio,1
0025779,con salame,1
0025779,prosciutto e funghi,2
0025779,strega,1
0025780,cheese and peas arancini,1
0025780,chocolate gelato,1
0025780,provola e pepe,2
0025780,vanilla gelato,1
0025781,aglio olio e peperoncino,2
0025781,beef carpaccio,1
0025781,burrata with grapes & basil,1
0025781,diavola,1
0025781,tonnarella,1
0025782,burrata with grapes & basil,1
0025782,chocolate gelato,1
0025782,strega,1
0025782,tonnarella,1
0025783,aglio olio e peperoncino,1
0025783,caprese vanilla & raspberry,1
0025783,chocolate gelato,2
0025783,insalata caprese,1
0025783,octopus arancini,1
0025783,strega,2
0025783,tonnarella,2
0025784,burrata with grapes & basil,1
0025784,con salame,1
0025784,insalata caprese,1
0025784,mango gelato,1
0025784,marinara,1
0025785,caprese vanilla & raspberry,1
0025785,margherita,2
0025785,pistachio gelato,1
0025785,prosciutto e funghi,1
0025785,provola e pepe,1
0025785,tonnarella,1
0025786,aglio olio e peperoncino,1
0025786,caprese vanilla & raspberry,1
0025786,con salame,1
0025786,diavola,1
0025786,mango gelato,1
0025786,margherita,1
0025786,marinara,1
0025786,pistachio gelato,1
0025786,plum-nut raw cake,1
0025786,provola e pepe,1
0025786,zeppole,1
0025787,aglio olio e peperoncino,1
0025787,cheese and peas arancini,1
0025787,lemon gelato,1
0025787,pistachio gelato,1
0025787,strawberry gelato,1
0025787,strega,3
0025787,zeppole,1
0025788,aglio olio e peperoncino,1
0025788,beef carpaccio,1
0025788,burrata with grapes & basil,1
0025788,caprese vanilla & raspberry,1
0025788,cheese and peas arancini,1
0025788,diavola,1
0025788,insalata caprese,1
0025788,margherita,1
0025788,mona lisa,1
0025788,octopus arancini,1
0025788,pistachio gelato,1
0025788,strawberry gelato,1
0025788,strega,1
0025789,burrata with grapes & basil,2
0025789,marinara,1
0025789,octopus arancini,1
0025789,strega,1
0025789,tonnarella,1
0025790,beef carpaccio,2
0025790,cacio e pepe,1
0025790,cheese and peas arancini,1
0025790,insalata caprese,1
0025790,margherita,1
0025790,mona lisa,1
0025790,octopus arancini,1
0025790,provola e pepe,1
0025790,strawberry gelato,1
0025790,strega,2
0025791,aglio olio e peperoncino,1
0025791,cacio e pepe,1
0025791,lemon gelato,1
0025791,margherita,1
0025791,strega,1
0025791,vanilla gelato,1
0025792,cacio e pepe,1
0025792,caprese vanilla & raspberry,1
0025792,con salame,1
0025792,pistachio gelato,1
0025793,aglio olio e peperoncino,1
0025793,cacio e pepe,1
0025793,diavola,1
0025793,provola e pepe,1
0025793,tiramisu della mamma,1
0025794,aglio olio e peperoncino,1
0025794,caprese vanilla & raspberry,1
0025794,pistachio gelato,1
0025794,prosciutto e funghi,1
0025794,tonnarella,1
0025794,vanilla gelato,1
0025795,beef carpaccio,1
0025795,cacio e pepe,1
0025795,con salame,1
0025796,burrata with grapes & basil,2
0025796,cacio e pepe,1
0025796,con salame,1
0025796,diavola,1
0025796,mango gelato,1
0025796,octopus arancini,2
0025796,pistachio gelato,1
0025796,provola e pepe,1
0025796,tiramisu della mamma,1
0025797,aglio olio e peperoncino,1
0025797,cheese and peas arancini,1
0025797,lemon gelato,1
0025797,marinara,1
0025797,mona lisa,1
0025797,pistachio gelato,1
0025797,plum-nut raw cake,1
0025797,provola e pepe,1
0025797,strawberry gelato,1
0025797,tonnarella,1
0025797,zeppole,1
0025798,con salame,1
0025798,diavola,1
0025798,insalata caprese,1
0025798,marinara,1
0025798,vanilla gelato,1
0025799,aglio olio e peperoncino,1
0025799,plum-nut raw cake,1
0025799,prosciutto e funghi,1
0025799,provola e pepe,1
0025800,beef carpaccio,1
0025800,burrata with grapes & basil,3
0025800,cacio e pepe,1
0025800,cheese and peas arancini,1
0025800,margherita,2
0025800,mona lisa,1
0025800,strega,1
0025801,chocolate gelato,1
0025801,tonnarella,1
0025802,burrata with grapes & basil,1
0025802,caprese vanilla & raspberry,1
0025802,diavola,1
0025802,margherita,1
0025802,marinara,1
0025802,pistachio gelato,1
0025803,aglio olio e peperoncino,1
0025803,beef carpaccio,1
0025803,cacio e pepe,1
0025803,cheese and peas arancini,1
0025803,diavola,1
0025803,octopus arancini,1
0025803,strega,1
0025803,tonnarella,1
0025804,beef carpaccio,1
0025804,burrata with grapes & basil,2
0025804,cacio e pepe,1
0025804,cheese and peas arancini,1
0025804,margherita,1
0025804,mona lisa,1
0025804,strega,1
0025804,tonnarella,1
0025805,chocolate gelato,1
0025805,margherita,1
0025805,marinara,1
0025806,con salame,2
0025806,lemon gelato,1
0025806,margherita,2
0025806,mona lisa,1
0025806,plum-nut raw cake,1
0025806,provola e pepe,1
0025806,tiramisu della mamma,1
0025806,zeppole,2
0025807,con salame,1
0025807,octopus arancini,1
0025807,vanilla gelato,1
0025808,aglio olio e peperoncino,2
0025808,beef carpaccio,1
0025808,cacio e pepe,1
0025808,insalata caprese,3
0025808,strega,1
0025809,aglio olio e peperoncino,1
0025809,cacio e pepe,1
0025809,lemon gelato,1
0025809,octopus arancini,1
0025810,caprese vanilla & raspberry,1
0025810,con salame,1
0025810,insalata caprese,1
0025810,marinara,1
0025810,zeppole,1
0025811,diavola,1
0025812,burrata with grapes & basil,1
0025812,cacio e pepe,1
0025812,cheese and peas arancini,1
0025812,diavola,1
0025812,marinara,1
0025812,tiramisu della mamma,1
0025812,tonnarella,1
0025813,aglio olio e peperoncino,1
0025813,plum-nut raw cake,1
0025813,prosciutto e funghi,1
0025813,strawberry gelato,1
0025814,cheese and peas arancini,2
0025814,margherita,2
0025814,marinara,1
0025815,burrata with grapes & basil,1
0025815,chocolate gelato,1
0025815,con salame,1
0025815,prosciutto e funghi,1
0025815,provola e pepe,1
0025815,strawberry gelato,1
0025816,beef carpaccio,1
0025816,cacio e pepe,1
0025817,chocolate gelato,1
0025817,mona lisa,1
0025817,octopus arancini,1
0025818,beef carpaccio,1
0025818,cheese and peas arancini,1
0025818,con salame,1
0025818,margherita,1
0025818,octopus arancini,1
0025818,pistachio gelato,1
0025818,prosciutto e funghi,1
0025819,aglio olio e peperoncino,3
0025819,insalata caprese,3
0025819,lemon gelato,1
0025819,margherita,1
0025819,octopus arancini,1
0025819,pistachio gelato,1
0025819,plum-nut raw cake,1
0025819,strawberry gelato,1
0025820,beef carpaccio,1
0025820,burrata with grapes & basil,1
0025820,mango gelato,1
0025820,mona lisa,1
0025820,pistachio gelato,1
0025820,prosciutto e funghi,2
0025820,vanilla gelato,1
0025821,burrata with grapes & basil,2
0025821,cacio e pepe,1
0025821,insalata caprese,1
0025821,marinara,1
0025821,tonnarella,1
0025822,beef carpaccio,1
0025822,burrata with grapes & basil,1
0025822,cacio e pepe,1
0025822,mona lisa,1
0025822,octopus arancini,2
0025822,strega,1
0025822,tonnarella,1
0025823,burrata with grapes & basil,1
0025823,cacio e pepe,1
0025823,chocolate gelato,1
0025823,diavola,2
0025823,mona lisa,1
0025823,octopus arancini,1
0025823,provola e pepe,1
0025823,tiramisu della mamma,1
0025823,vanilla gelato,1
0025824,beef carpaccio,1
0025824,caprese vanilla & raspberry,1
0025824,cheese and peas arancini,2
0025824,marinara,1
0025824,pistachio gelato,1
0025824,provola e pepe,1
0025824,strega,1
0025825,caprese vanilla & raspberry,1
0025825,mango gelato,1
0025825,plum-nut raw cake,1
0025825,prosciutto e funghi,1
0025825,strega,2
0025825,tonnarella,1
0025826,aglio olio e peperoncino,1
