order_no,product_name,amount
0103535,aglio olio e peperoncino,1
0103535,cacio e pepe,2
0103535,chocolate gelato,1
0103535,diavola,1
0103535,insalata caprese,1
0103535,mango gelato,1
0103535,mona lisa,1
0103535,pistachio gelato,1
0103535,strawberry gelato,1
0103535,tonnarella,1
0103535,vanilla gelato,1
0103536,aglio olio e peperoncino,2
0103536,con salame,2
0103536,insalata caprese,3
0103536,mango gelato,1
0103536,octopus arancini,1
0103536,prosciutto e funghi,1
0103536,strawberry gelato,1
0103536,tiramisu della mamma,1
0103537,aglio olio e peperoncino,1
0103537,caprese vanilla & raspberry,1
0103537,cheese and peas arancini,1
0103537,con salame,1
0103537,diavola,2
0103537,lemon gelato,1
0103537,provola e pepe,2
0103538,aglio olio e peperoncino,1
0103538,burrata with grapes & basil,2
0103538,cacio e pepe,1
0103538,chocolate gelato,2
0103538,con salame,1
0103538,diavola,1
0103538,margherita,1
0103538,marinara,1
0103538,octopus arancini,2
0103539,aglio olio e peperoncino,1
0103539,marinara,1
0103539,prosciutto e funghi,1
0103539,provola e pepe,1
0103539,tonnarella,2
0103540,aglio olio e peperoncino,2
0103540,cacio e pepe,1
0103540,cheese and peas arancini,1
0103540,con salame,1
0103540,insalata caprese,1
0103540,margherita,1
0103540,octopus arancini,3
0103540,provola e pepe,1
0103541,margherita,1
0103541,mona lisa,1
0103541,strega,1
0103542,diavola,1
0103542,margherita,1
0103542,marinara,1
0103542,octopus arancini,1
0103542,prosciutto e funghi,1
0103542,tiramisu della mamma,1
0103542,vanilla gelato,1
0103543,aglio olio e peperoncino,1
0103543,beef carpaccio,1
0103543,cacio e pepe,1
0103543,marinara,1
0103543,tonnarella,2
0103544,aglio olio e peperoncino,1
0103544,burrata with grapes & basil,1
0103544,caprese vanilla & raspberry,1
0103545,beef carpaccio,1
0103545,caprese vanilla & raspberry,1
0103545,margherita,1
0103545,mona lisa,1
0103545,octopus arancini,1
0103546,burrata with grapes & basil,1
0103546,cacio e pepe,1
0103546,insalata caprese,1
0103546,lemon gelato,1
0103546,mango gelato,2
0103546,mona lisa,2
0103546,octopus arancini,1
0103546,prosciutto e funghi,2
0103546,strega,1
0103546,zeppole,1
0103547,aglio olio e peperoncino,1
0103547,beef carpaccio,1
0103547,burrata with grapes & basil,1
0103547,diavola,1
0103547,strawberry gelato,1
0103548,aglio olio e peperoncino,1
0103548,burrata with grapes & basil,2
0103548,diavola,1
0103548,marinara,1
0103548,octopus arancini,1
0103548,provola e pepe,1
0103548,strega,1
0103548,tonnarella,1
0103549,aglio olio e peperoncino,1
0103549,burrata with grapes & basil,2
0103549,cacio e pepe,1
0103549,insalata caprese,1
0103549,mango gelato,1
0103549,margherita,1
0103549,zeppole,1
0103550,beef carpaccio,3
0103550,burrata with grapes & basil,1
0103550,cacio e pepe,1
0103550,con salame,1
0103550,insalata caprese,1
0103550,mona lisa,1
0103550,plum-nut raw cake,1
0103550,prosciutto e funghi,2
0103550,strega,1
0103551,aglio olio e peperoncino,1
0103551,beef carpaccio,4
0103551,cacio e pepe,1
0103551,caprese vanilla & raspberry,1
0103551,cheese and peas arancini,1
0103551,con salame,1
0103551,lemon gelato,1
0103551,margherita,1
0103551,mona lisa,1
0103551,tonnarella,1
0103551,vanilla gelato,1
0103552,cacio e pepe,1
0103552,mango gelato,1
0103552,marinara,1
0103553,cacio e pepe,1
0103553,cheese and peas arancini,1
0103553,chocolate gelato,1
0103553,con salame,1
0103553,mango gelato,1
0103553,margherita,1
0103553,mona lisa,1
0103553,provola e pepe,1
0103553,strega,1
0103553,tiramisu della mamma,1
0103554,cacio e pepe,1
0103554,caprese vanilla & raspberry,1
0103554,cheese and peas arancini,1
0103554,prosciutto e funghi,1
0103555,beef carpaccio,1
0103555,burrata with grapes & basil,2
0103555,cacio e pepe,1
0103555,con salame,1
0103555,insalata caprese,1
0103555,margherita,2
0103555,marinara,1
0103555,mona lisa,1
0103555,octopus arancini,1
0103555,tiramisu della mamma,1
0103556,beef carpaccio,1
0103556,cacio e pepe,1
0103556,cheese and peas arancini,1
0103556,con salame,1
0103556,diavola,2
0103556,mona lisa,1
0103556,tonnarella,1
0103556,zeppole,1
0103557,aglio olio e peperoncino,1
0103557,beef carpaccio,1
0103557,burrata with grapes & basil,1
0103557,con salame,1
0103557,lemon gelato,1
0103557,marinara,2
0103557,octopus arancini,1
0103557,pistachio gelato,1
0103557,prosciutto e funghi,1
0103557,zeppole,1
0103558,beef carpaccio,1
0103558,diavola,2
0103558,marinara,1
0103559,beef carpaccio,1
0103559,con salame,1
0103559,margherita,1
0103560,margherita,1
0103561,provola e pepe,1
0103562,con salame,1
0103562,insalata caprese,1
0103562,mango gelato,1
0103562,marinara,1
0103562,tiramisu della mamma,1
0103563,aglio olio e peperoncino,1
0103563,chocolate gelato,1
0103563,diavola,1
0103563,lemon gelato,1
0103563,mango gelato,1
0103563,margherita,1
0103563,prosciutto e funghi,1
0103563,strawberry gelato,1
0103563,strega,1
0103564,beef carpaccio,1
0103564,cacio e pepe,2
0103564,caprese vanilla & raspberry,1
0103564,diavola,3
0103564,insalata caprese,1
0103564,mango gelato,1
0103564,plum-nut raw cake,2
0103564,zeppole,1
0103565,aglio olio e peperoncino,1
0103565,cacio e pepe,1
0103565,caprese vanilla & raspberry,1
0103565,chocolate gelato,1
0103565,con salame,1
0103565,mango gelato,1
0103565,margherita,2
0103565,octopus arancini,1
