order_no,product_name,amount
0156619,beef carpaccio,1
0156619,cacio e pepe,1
0156619,chocolate gelato,2
0156619,con salame,1
0156619,diavola,2
0156619,insalata caprese,1
0156619,pistachio gelato,1
0156619,strega,2
0156619,tiramisu della mamma,1
0156620,aglio olio e peperoncino,1
0156620,beef carpaccio,1
0156620,cacio e pepe,1
0156620,mango gelato,1
0156620,margherita,1
0156620,marinara,1
0156620,octopus arancini,1
0156621,burrata with grapes & basil,1
0156621,con salame,1
0156621,pistachio gelato,1
0156622,beef carpaccio,1
0156622,burrata with grapes & basil,1
0156622,cacio e pepe,2
0156622,chocolate gelato,1
0156622,prosciutto e funghi,2
0156623,burrata with grapes & basil,1
0156623,cheese and peas arancini,1
0156623,diavola,2
0156623,provola e pepe,2
0156623,strawberry gelato,1
0156624,cacio e pepe,1
0156624,diavola,1
0156624,mango gelato,1
0156624,octopus arancini,1
0156624,strega,2
0156624,tiramisu della mamma,1
0156625,beef carpaccio,1
0156625,burrata with grapes & basil,1
0156625,cacio e pepe,1
0156625,chocolate gelato,2
0156625,con salame,1
0156625,diavola,1
0156625,mango gelato,1
0156625,margherita,2
0156625,vanilla gelato,1
0156626,beef carpaccio,2
0156626,chocolate gelato,1
0156626,con salame,1
0156626,lemon gelato,1
0156626,margherita,1
0156626,octopus arancini,1
0156626,tonnarella,1
0156627,burrata with grapes & basil,1
0156627,diavola,1
0156628,cacio e pepe,1
0156628,caprese vanilla & raspberry,1
0156628,con salame,1
0156628,vanilla gelato,1
0156629,aglio olio e peperoncino,1
0156629,caprese vanilla & raspberry,1
0156629,chocolate gelato,1
0156629,con salame,3
0156629,marinara,1
0156629,mona lisa,1
0156630,con salame,1
0156630,octopus arancini,1
0156631,beef carpaccio,1
0156631,burrata with grapes & basil,1
0156631,cheese and peas arancini,1
0156631,marinara,1
0156631,pistachio gelato,1
0156631,plum-nut raw cake,1
0156631,prosciutto e funghi,1
0156631,strega,1
0156632,burrata with grapes & basil,1
0156632,cheese and peas arancini,1
0156632,con salame,2
0156632,lemon gelato,1
0156632,strawberry gelato,1
0156632,strega,1
0156633,burrata with grapes & basil,1
0156633,margherita,1
0156633,strega,1
0156634,cacio e pepe,1
0156634,cheese and peas arancini,2
0156634,con salame,1
0156634,diavola,2
0156634,insalata caprese,1
0156634,margherita,1
0156634,octopus arancini,2
0156635,aglio olio e peperoncino,1
0156635,burrata with grapes & basil,1
0156635,chocolate gelato,1
0156635,insalata caprese,1
0156635,mango gelato,1
0156635,margherita,1
0156635,octopus arancini,2
0156635,plum-nut raw cake,1
0156635,prosciutto e funghi,1
0156635,strawberry gelato,1
0156635,tonnarella,1
0156636,aglio olio e peperoncino,1
0156636,burrata with grapes & basil,1
0156636,cheese and peas arancini,1
0156636,chocolate gelato,1
0156636,insalata caprese,1
0156636,margherita,1
0156636,marinara,2
0156636,octopus arancini,1
0156636,provola e pepe,1
0156636,strawberry gelato,1
0156636,tonnarella,1
0156637,burrata with grapes & basil,1
0156637,cacio e pepe,1
0156637,con salame,2
0156637,insalata caprese,1
0156637,mona lisa,1
0156637,plum-nut raw cake,1
0156637,tiramisu della mamma,1
0156638,beef carpaccio,1
0156638,burrata with grapes & basil,1
0156638,cacio e pepe,1
0156638,insalata caprese,1
0156638,mona lisa,1
0156638,octopus arancini,1
0156638,provola e pepe,1
0156638,strega,2
0156639,aglio olio e peperoncino,2
0156639,cheese and peas arancini,1
0156639,diavola,1
0156639,insalata caprese,1
0156639,lemon gelato,1
0156639,octopus arancini,1
0156640,aglio olio e peperoncino,1
0156640,burrata with grapes & basil,1
0156641,chocolate gelato,1
0156641,tonnarella,1
0156642,cacio e pepe,2
