timestamp,order_no,takeaway,restaurant_id
2023-01-01 11:10,0129922,dine-in,TRE001
2023-01-01 11:13,0129923,dine-in,TRE001
2023-01-01 11:27,0129924,UberEats,TRE001
2023-01-01 11:30,0129925,dine-in,TRE001
2023-01-01 11:32,0129926,dine-in,TRE001
2023-01-01 12:29,0129927,dine-in,TRE001
2023-01-01 12:35,0129928,dine-in,TRE001
2023-01-01 12:46,0129929,dine-in,TRE001
2023-01-01 12:49,0129930,dine-in,TRE001
2023-01-01 12:55,0129931,dine-in,TRE001
2023-01-01 12:55,0129932,dine-in,TRE001
2023-01-01 13:29,0129933,dine-in,TRE001
2023-01-01 14:29,0129934,dine-in,TRE001
2023-01-01 15:05,0129935,dine-in,TRE001
2023-01-01 15:58,0129936,dine-in,TRE001
2023-01-01 16:21,0129937,dine-in,TRE001
2023-01-01 16:21,0129938,dine-in,TRE001
2023-01-01 17:33,0129939,dine-in,TRE001
2023-01-01 17:37,0129940,dine-in,TRE001
2023-01-01 17:50,0129941,dine-in,TRE001
2023-01-01 18:15,0129942,dine-in,TRE001
2023-01-01 18:29,0129943,dine-in,TRE001
2023-01-01 18:39,0129944,dine-in,TRE001
2023-01-01 19:28,0129945,dine-in,TRE001
2023-01-01 19:36,0129946,dine-in,TRE001
2023-01-01 19:45,0129947,UberEats,TRE001
2023-01-01 20:08,0129948,dine-in,TRE001
2023-01-01 20:09,0129949,dine-in,TRE001
2023-01-01 20:17,0129950,dine-in,TRE001
2023-01-01 20:22,0129951,dine-in,TRE001
2023-01-01 21:03,0129952,dine-in,TRE001
2023-01-01 21:13,0129953,dine-in,TRE001
2023-01-01 21:37,0129954,dine-in,TRE001
2023-01-01 21:49,0129955,dine-in,TRE001
2023-01-01 21:50,0129956,dine-in,TRE001
2023-01-01 21:56,0129957,dine-in,TRE001
2023-01-01 22:02,0129958,dine-in,TRE001
2023-01-01 22:10,0129959,dine-in,TRE001
2023-01-01 22:17,0129960,dine-in,TRE001
2023-01-01 22:25,0129961,Foodora,TRE001
2023-01-01 22:26,0129962,dine-in,TRE001
2023-01-01 22:52,0129963,dine-in,TRE001
2023-01-01 22:55,0129964,dine-in,TRE001
2023-01-01 22:58,0129965,Wolt,TRE001
2023-01-01 22:58,0129966,Foodora,TRE001
2023-01-02 11:02,0129967,dine-in,TRE001
2023-01-02 11:05,0129968,dine-in,TRE001
2023-01-02 11:05,0129969,dine-in,TRE001
2023-01-02 11:17,0129970,dine-in,TRE001
2023-01-02 11:23,0129971,dine-in,TRE001
2023-01-02 11:27,0129972,dine-in,TRE001
2023-01-02 11:34,0129973,dine-in,TRE001
2023-01-02 11:34,0129974,dine-in,TRE001
2023-01-02 11:38,0129975,dine-in,TRE001
2023-01-02 11:44,0129976,dine-in,TRE001
2023-01-02 12:05,0129977,dine-in,TRE001
2023-01-02 12:19,0129978,dine-in,TRE001
2023-01-02 12:25,0129979,dine-in,TRE001
2023-01-02 12:40,0129980,dine-in,TRE001
2023-01-02 13:11,0129981,dine-in,TRE001
2023-01-02 13:15,0129982,dine-in,TRE001
2023-01-02 14:07,0129983,Wolt,TRE001
2023-01-02 14:46,0129984,dine-in,TRE001
2023-01-02 15:31,0129985,Foodora,TRE001
2023-01-02 15:33,0129986,dine-in,TRE001
2023-01-02 15:53,0129987,dine-in,TRE001
2023-01-02 16:29,0129988,dine-in,TRE001
2023-01-02 16:50,0129989,dine-in,TRE001
2023-01-02 17:06,0129990,dine-in,TRE001
2023-01-02 17:27,0129991,dine-in,TRE001
2023-01-02 18:02,0129992,takeaway,TRE001
2023-01-02 18:04,0129993,dine-in,TRE001
2023-01-02 18:07,0129994,dine-in,TRE001
2023-01-02 18:17,0129995,UberEats,TRE001
2023-01-02 18:26,0129996,dine-in,TRE001
2023-01-02 18:27,0129997,dine-in,TRE001
2023-01-02 18:29,0129998,Foodora,TRE001
2023-01-02 19:05,0129999,dine-in,TRE001
2023-01-02 19:16,0130000,dine-in,TRE001
2023-01-02 19:19,0130001,dine-in,TRE001
2023-01-02 19:29,0130002,dine-in,TRE001
2023-01-02 19:39,0130003,dine-in,TRE001
2023-01-02 19:58,0130004,Wolt,TRE001
2023-01-02 20:01,0130005,dine-in,TRE001
2023-01-02 20:06,0130006,dine-in,TRE001
2023-01-02 20:15,0130007,takeaway,TRE001
2023-01-02 20:18,0130008,dine-in,TRE001
2023-01-02 20:43,0130009,dine-in,TRE001
2023-01-02 20:46,0130010,dine-in,TRE001
2023-01-02 20:52,0130011,dine-in,TRE001
2023-01-02 20:53,0130012,dine-in,TRE001
